LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,class
-31.20276767,0.053706251,0.469809577,-0.221886542,-0.54066231,0.301588321,1.114882537,1.874953963,1
3.997681025,-14.55371937,3.457553307,-1.815593051,0.156624523,0.521694988,0.564872523,0.48631609,2
3.090829578,-0.168933873,-3.232754916,0.918135049,-1.487637947,-3.004879949,5.68951154,-6.74595149,3
3.831357127,2.101569673,-4.147120253,-0.788380119,-1.814285721,-0.621193772,5.042585691,6.217737011,4
3.046837237,0.507068555,-5.384768549,2.402410076,7.023996436,3.244510386,-0.688173419,0.240017907,5
4.572438229,6.930805666,5.983154314,-10.74794045,3.250819665,-0.441687628,-0.163107811,-0.264421676,6
3.236100413,4.424848231,9.26852508,8.370914331,-2.256609505,1.470835686,-0.476739935,-1.309994185,7
2.724301803,0.219622084,-2.123188675,1.549772542,-0.188674907,-5.842532184,-3.589928253,0.503716741,8
3.49612368,0.024635332,-3.45177854,-0.853805209,-6.495403548,5.202089077,-3.300000918,-2.385826764,9
-29.01747162,-0.152057052,0.278432147,-0.597261837,-0.099795919,0.329970163,0.00488019,0.137796386,1
5.091033287,-19.83672235,5.79309522,-3.051027197,-0.058115527,1.217685549,0.078514772,1.775320388,2
2.82304261,-0.520202688,-3.046724744,0.461943733,-2.234484806,-3.896343364,6.459129312,-7.940391392,3
3.637610312,0.89170539,-4.601644957,-0.0173092,-3.110921935,-2.198807291,7.387011056,5.954004522,4
3.372961649,0.716632744,-6.086072957,2.609528045,8.822544458,3.721496118,-0.417402447,-0.150587409,5
4.572438229,6.930805666,5.983154314,-10.74794045,3.250819665,-0.441687628,-0.163107811,-0.264421676,6
3.627112319,4.656961695,7.560560332,10.34469368,-3.197362427,3.642934183,-0.30434368,1.110898558,7
2.842232776,0.548185442,-2.781734069,1.798564316,-0.581962477,-8.838136778,-7.040834333,1.202881256,8
4.74635833,0.837668124,-3.127341478,-2.192261526,-7.69762334,7.869031652,-4.704066508,-0.853838385,9
-28.78134461,-0.066560887,-0.008986508,-0.658145003,-0.27506886,-0.024569591,-0.140905954,-0.168626402,1
4.430647079,-15.01303425,3.752398472,-1.496527388,-0.113292857,0.593097922,0.417163476,0.602544042,2
2.929909357,-0.382823244,-2.830333272,0.879549741,-1.452549462,-3.443003386,5.422226534,-7.506906594,3
3.703973422,1.855965841,-3.990393266,-0.024877058,-2.681226438,-1.430747027,6.964021062,6.453499203,4
3.244341798,0.586773877,-6.517165883,2.331588009,8.636130742,4.222965176,-0.971215748,0.676126726,5
4.699622996,5.634643652,6.133729697,-10.70038088,3.489671137,-0.857374492,0.082910128,-0.308632976,6
3.326555964,5.624250067,9.700893131,9.355022926,-0.841541411,1.761808349,0.319341189,0.115732686,7
2.896998783,0.780069111,-2.489224865,1.610128076,-0.719288173,-7.582782428,-6.995488573,1.558234884,8
4.397625273,1.922685041,-4.412750003,-2.29056513,-9.364090525,8.90472698,-4.387098574,-1.210425422,9
-29.42850132,-0.092095423,0.647033651,-0.318972645,-0.061533907,0.222661127,-0.374187894,-0.681879409,1
4.303005898,-15.43444321,4.247271361,-2.061616984,0.523637162,0.756701664,-0.051663448,0.8331188,2
2.670903683,0.512512782,-3.638711091,1.241629145,-0.950987236,-2.3887398,4.994502376,-3.529933441,3
3.521539704,1.840378038,-3.04279232,0.417144219,-1.320100442,-1.886524973,6.216569944,4.677532304,4
3.047277346,0.215971458,-6.740627456,2.835888529,9.273095476,4.139397138,-0.808734066,-0.377894416,5
3.794175029,2.968531105,1.358339204,-1.435440086,0.114486545,0.310105428,0.010182334,0.472483575,6
3.161700733,4.392285845,9.120488555,7.440666933,-0.778635369,1.423820841,-0.204797677,0.4623397,7
2.842232776,0.548185442,-2.781734069,1.798564316,-0.581962477,-8.838136778,-7.040834333,1.202881256,8
4.177030074,1.581503105,-3.901042651,-1.933730747,-8.092851903,6.917809397,-4.179945197,-0.995272723,9
-30.65784769,0.14316363,0.128218907,-0.715227441,-0.505855335,0.341248884,1.087656354,1.942959793,1
3.197534125,-14.96341849,4.368003968,-1.963881707,0.72640516,0.748341041,-0.532871702,0.504444184,2
2.219846111,-0.379927009,-3.139139655,0.53972497,-1.346855115,-2.926893161,5.336672669,-5.548197709,3
3.703626994,2.218694708,-3.949075394,-0.307889385,-2.039224134,-1.553506473,6.87178825,5.447158223,4
