PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,class
-0.208542007,-0.36913273,-0.54213382,-0.350637374,-0.332362994,-0.068972841,-0.18435208,-0.01586209,1
-0.234203578,-0.426543225,-0.549850119,-0.374707793,0.055095364,-0.099841489,0.005674044,0.66819293,2
-0.180087305,-0.334590702,-0.537706168,-0.287620927,-0.290487159,0.02754652,-0.123794401,-0.168396505,3
-0.145866703,-0.217329217,-0.368558829,-0.078663705,-0.357208426,-0.020266862,-0.125163998,-0.405298469,4
-0.295823999,-0.139773098,0.121249434,-0.390933232,-0.586841046,-0.031097357,-0.137894688,-1.305312237,5
-0.166152688,-0.284770767,-0.471171936,-0.490217595,-0.982145685,-0.242308453,-0.171383037,-0.807744619,6
-0.241670052,-0.132538845,0.33723568,-0.239803888,-0.401650275,-0.134769721,-0.700339152,-0.225549937,7
-0.000801524,-0.243559219,-0.250513511,-0.221037508,-0.440568113,-0.220635905,-0.324229923,-0.418686098,8
-0.171961435,-0.299524747,-0.541399735,-0.296492009,-0.283607465,-0.155373295,-0.24742189,0.059625117,9
1.125736119,-0.72780981,-0.736541509,-0.749439994,-0.442686634,-0.328775381,-0.298324189,1.087325108,1
-0.281730457,-0.682653679,-0.112005806,-1.458754647,2.792270362,0.117430377,0.731310652,2.200937385,2
-0.319735641,-0.374723808,-0.24792468,0.328627692,-0.00539854,1.194306687,0.621976106,-0.561391004,3
-0.220937481,-0.276844277,-0.226038891,0.143529034,-0.210643196,0.460413232,-0.048803174,-0.286648337,4
-0.319575325,-0.358682147,0.019734788,-0.363210852,-0.69019222,-0.014731837,-0.303776135,-1.550550563,5
-0.164856935,0.068129674,-1.431861994,0.58932922,-0.051887467,-0.543800238,-1.987697681,-0.37310759,6
-0.127799566,1.116618615,0.804820502,0.229901192,-0.51947318,-0.563625556,-1.730788681,0.802879261,7
-0.184874165,-0.239219392,-0.400191581,-0.278606555,-0.421450927,-0.188485395,-0.254325663,-0.238312703,8
0.225978848,0.461559329,-0.770057971,-0.115409263,-0.198649988,-0.392440071,-0.401990449,0.21894666,9
-0.246131395,-0.534836937,-0.681542742,-0.626462761,-0.318864477,-0.269972431,-0.508030276,0.857480083,1
-0.259034878,-0.422765893,-0.256425871,-0.374055567,0.15923902,-0.073039085,0.357942933,1.209095985,2
-0.322922505,-0.344107284,-0.718774391,1.623327075,0.059766356,2.644274927,0.066879252,-0.671996798,3
-0.322783476,1.333514175,-1.025682459,5.908809015,1.015903745,7.136961116,-1.959450573,-0.696548523,4
-0.357296826,-0.278350966,-0.009166848,-0.389476727,-0.799975551,-0.044390324,0.032711192,-2.027510214,5
-0.194490293,-0.271038283,-0.420886118,-0.218728459,-0.377902319,-0.241623869,-0.406955971,0.027880765,6
-0.172408738,-0.116513364,-0.408852942,-0.146464449,-0.473420699,-0.320141979,-0.606356779,0.140883119,7
0.04974682,0.03603204,-0.576091767,-0.068762029,-0.345930701,-0.329779194,-0.377842785,-0.000705956,8
1.974266633,0.283684954,-0.979431057,-0.24425684,-0.520045962,-0.324978982,-0.797256941,0.377273032,9
-0.244479497,-0.555628683,-0.659397211,-0.613845856,-0.409463432,-0.208341844,-0.403261188,0.831911625,1
-0.271111061,-0.702469395,-0.073699865,-1.496262284,2.871725525,-0.043485231,-0.378155826,0.926399221,2
-0.231124392,-0.223661385,-0.480739624,0.363090582,-0.175042154,0.76130385,-0.02095042,-0.367114273,3
-0.178706159,-0.193447212,-0.624197748,0.173539505,-0.18147985,0.465034933,-0.161888374,-0.147922689,4
-0.318680907,-0.354241084,-0.175302366,-0.428302345,-0.736865387,-0.058792226,-0.054565141,-1.639357052,5
-0.114660722,-0.109878385,-0.616524302,-0.089737584,-0.3446054,-0.245908557,-0.493003636,0.091832302,6
-0.21437781,-0.281321673,-0.27014049,-0.301797345,-0.436992799,-0.146279469,-0.484930605,-0.187116875,7
0.268111672,0.405042995,-0.599703887,-0.10658461,-0.428940968,-0.273332567,-0.421311035,-0.145398242,8
-0.081660156,-0.052954647,-0.81125487,-0.061788632,-0.393102723,-0.376044143,-0.494462888,0.054905721,9
-0.227027327,-0.391115809,-0.518461991,-0.390787812,-0.364211454,-0.075606941,-0.17516854,0.199870685,1
