LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,LDA9,LDA10,LDA11,LDA12,LDA3,LDA14,LDA15,LDA16,LDA17,LDA18,LDA19,LDA20,LDA21,LDA22,LDA23,LDA24,LDA25,class
-1.797129368,-0.110618603,-0.567203923,0.576060439,-0.613594332,1.271985886,2.162221912,-0.313277823,4.002013175,-1.064457413,-1.260005768,1.980895674,0.77396424,-1.122209677,2.37377119,0.838544236,0.648423684,1.118738555,-1.286144557,-0.609743573,0.895389267,-1.453537539,-1.841783197,0.860400347,2.34052607,1
-0.148980962,1.43576138,-1.549889524,2.671568479,0.204715151,1.400293059,-0.956059959,-0.834836792,2.13097271,-1.135023289,-0.236798006,2.452896958,-0.829727114,-0.855643251,-0.336876605,-0.504767667,-0.05204628,2.184534203,1.178645822,0.695777928,-0.810890018,-0.444835802,-1.551585239,0.078673523,0.579301855,1
-4.040692313,-0.573737534,-4.738512887,0.531572564,-3.806582061,-0.12473503,-0.045530967,0.37503683,1.120945972,-0.141944596,1.586810717,-2.507825261,-1.356303133,-0.918094233,0.567645999,-0.419776281,-0.326975825,-0.960230116,0.856285173,1.33029221,-1.195758553,1.413226612,-0.389241866,-1.635955267,-1.61567316,2
-2.878937284,0.162932038,-3.783443386,2.289661187,-3.284081251,0.000736247,0.250540391,1.248539497,2.393492067,-0.539022702,1.381903391,-2.157379353,-0.729608411,-0.209387036,1.956859699,0.204146686,-0.013044711,-0.357777839,-0.457952652,1.826658834,-0.824119764,1.303997684,0.585034996,-1.488615259,-1.681580205,2
-9.070907243,-4.231764557,10.56587509,3.362677614,-0.435041181,-5.649797875,1.172398911,-2.346951109,2.829005968,-1.115109748,3.635683756,0.255256916,-1.215997187,0.302113336,1.972704536,-2.819384318,0.130113274,-0.191042972,1.982356119,2.339848627,-1.280894388,0.9992527,0.884292121,1.038851023,-0.042516622,3
-9.137635256,-4.26831239,10.5154317,4.235195371,0.056062535,-6.261713563,0.954165663,-2.681208816,3.106019729,-1.14778697,2.955515306,1.17496056,-3.239175201,0.787352075,1.723957856,-0.273069314,0.016038355,-0.326291243,1.322145912,0.024589158,1.267707427,-0.050627065,1.976671314,0.790739022,-1.019654111,3
-4.392134816,-0.998055429,-3.259094596,1.460277847,-3.537106309,-0.143764755,-0.352979999,2.238431239,1.13700918,1.619490835,-0.266036354,-2.387056245,-3.121257719,3.395883401,-2.901645935,2.865170225,0.665971114,0.070137123,1.391572308,-1.030917965,1.117716477,0.085928743,-0.208393575,1.282274255,0.049873665,4
-4.396226046,-0.148174034,-3.498113264,0.987482336,-2.863777565,-0.22869469,-0.787725972,2.237218236,1.40763898,0.820337443,-0.115664843,-0.839378299,-3.706471474,3.506696102,-2.447854197,4.174512747,0.403762619,0.663991768,1.016981346,-2.072552927,0.716843326,0.116069891,-0.211381719,1.924825335,0.577047177,4
-3.246921669,0.069549256,-4.455896357,1.188899185,-4.708267744,-1.282031071,0.724574214,0.930547457,0.018929045,0.872697645,-1.059470781,-1.146730886,-1.661620202,0.441144834,-0.936157134,-1.618192696,-0.534011388,2.089987579,0.125606728,1.672977235,-2.163053264,-0.11344134,-0.550640449,3.812319836,0.402594719,5
-2.337003641,0.546742071,-3.915399761,3.199872356,-4.4424885,-1.009211412,1.058750883,0.086301837,0.411242883,0.48007653,0.507413358,-0.828486182,-1.148819246,1.808260089,1.752576236,-0.39207603,-0.480938618,0.172550072,-0.030904314,1.470164485,-0.405133028,-1.152554984,-0.927504373,3.861579621,0.507854618,5
