PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA3,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,class
-9.419546797,0.459947432,-7.288776469,4.110507984,-6.179064381,-1.794984346,-0.001064924,3.68269247,2.262367449,-0.754369139,-2.826541009,-2.890547479,-3.218597349,-2.897690786,0.339208737,-1.751858796,0.61130862,-0.096752927,-3.039165345,-0.509696953,-0.11603943,0.67446776,1.409715448,3.875520536,1.696589918,1
-5.124727714,-1.297130817,-7.837942211,2.811275553,-2.980114318,-3.179390291,-3.616723295,-1.65886556,0.99350804,1.924494482,-2.284067985,0.002549248,-1.562193636,-1.88291392,0.933398811,-1.505218234,-0.933210257,-1.544091856,-4.300251091,-0.480222389,-2.607941631,-0.968509041,2.960021483,2.012972758,-0.387150336,1
-13.4003315,1.893190211,-13.89587768,2.957060647,5.7825425,0.652969835,2.07121238,1.461452441,-1.367056051,-4.267244765,1.926552387,0.301688194,3.524933892,0.127868909,-4.094689866,3.556576716,0.295051541,-2.689766725,1.541854472,3.965844834,2.237352891,0.351110998,3.803872766,-2.231451501,-0.487162701,2
-11.47889962,1.443730994,-14.83825837,2.796870294,5.277470367,-3.219667437,3.712310123,3.939998659,-3.510103159,-4.248063889,1.583369738,1.547328849,1.697587175,-1.428993791,-3.346038674,1.596053676,1.443550824,-0.77546784,3.632940624,2.241885925,1.100628543,-1.512237071,3.041679552,0.894349888,-0.104653101,2
-17.50079864,5.514333502,-0.654720437,10.34415174,-5.271242891,1.209199912,3.023290775,6.356632189,1.384060065,2.35850187,-4.612603867,-2.587664939,3.269992503,-2.246356836,-1.227774653,-0.281692893,-1.578474165,-0.596052401,0.261164188,-0.627517919,-0.646293835,-1.912660788,5.821139857,-0.968825562,-1.548708612,3
-17.52671953,6.207151428,-1.375134627,11.84900963,-5.72468719,-1.568294575,6.17428644,7.150656452,-1.40184073,0.913811391,-5.957425587,0.322583833,1.581849645,-3.382709544,-0.994837488,-3.513482774,1.096329108,2.221887072,1.211978674,-2.20028588,-1.127178238,-1.781006534,3.818334002,0.559743773,-0.372516534,3
-17.9937416,6.405809232,-9.960065667,7.554522393,0.216237248,-0.353911522,6.385287891,1.71995313,-0.669466892,-4.939451797,-2.136935181,-2.768571386,1.387439219,-3.276397953,-5.520073151,-1.184416669,0.180200046,1.385921497,-1.044863542,4.927331839,3.205060051,-1.03241108,-0.234379635,-0.135374682,1.733552754,4
-17.28544059,4.856173061,-10.08663316,6.934798078,-2.630447571,-2.485629797,6.854809505,1.199866957,-4.828089684,-8.036550481,-1.640568986,0.11995342,-0.221576107,-2.891197259,-4.412146904,-1.471373259,0.812139398,1.210297894,-0.709433961,3.978181488,2.440836067,-0.095320162,0.654628632,0.749430887,-0.221361788,4
-12.56778136,7.245893529,-14.12727374,6.079553756,2.198513472,3.382289382,7.512477329,-1.442104337,-5.31829444,-0.662641738,1.165016084,-2.665483251,-1.156235547,-5.540152635,-6.866931783,0.031678953,1.117564219,5.790030286,1.568235504,3.023261874,0.283408994,2.156212207,-1.675477105,-0.261129557,-0.744659732,5
-10.9987685,4.568654226,-13.25454607,5.530039802,3.953855411,-3.951158126,6.243909267,-1.972898962,-6.08190653,-1.879224937,-2.766488365,5.893249314,1.70092381,-4.122105923,-2.471628913,-1.219355145,0.285371089,3.106838867,1.716686365,1.214083222,0.238927572,1.592391944,1.655734969,4.346277778,-1.032232955,5
